player,nationality,position,squad,age,value,height,foot,league,games_17,minutes_17,shots_total_17,goal_kicks_17,goals_17,assists_17,cards_yellow_17,cards_red_17,passes_17,corner_kicks_17,throw_ins_17,tackles_17,blocks_17,interceptions_17,clearances_17,touches_17,dribbles_17,offsides_17,errors_17,fouls_17,fouled_17,games_18,minutes_18,shots_total_18,goal_kicks_18,goals_18,assists_18,cards_yellow_18,cards_red_18,passes_18,corner_kicks_18,throw_ins_18,tackles_18,blocks_18,interceptions_18,clearances_18,touches_18,dribbles_18,offsides_18,errors_18,fouls_18,fouled_18,games_19,minutes_19,shots_total_19,goal_kicks_19,goals_19,assists_19,cards_yellow_19,cards_red_19,passes_19,corner_kicks_19,throw_ins_19,tackles_19,blocks_19,interceptions_19,clearances_19,touches_19,dribbles_19,offsides_19,errors_19,fouls_19,fouled_19
Manolo Gabbiadini,it ITA,FW,Sampdoria,27,9000000,186,left,Serie A,28.0,1081.0,22.0,0.0,5.0,0.0,2.0,0.0,204.0,0.0,0.0,8.0,7.0,5.0,4.0,294.0,9.0,10.0,0.0,14.0,7.0,30.0,952.0,42.0,0.0,2.0,0.0,0.0,0.0,238.0,0.0,0.0,10.0,12.0,8.0,10.0,352.0,20.0,2.0,0.0,18.0,16.0,33,2035,87,0,11,1,2,0,581,39,1,16,10,11,12,839,39,14,0,30,38
Manolo Reina,es ESP,GK,Mallorca,34,30000,186,right,La Liga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,3240,0,308,0,0,4,0,1194,0,1,0,1,0,1,1273,0,0,0,0,7
Manu GarcĂ­a,es ESP,MF,AlavĂ©s,33,1000000,183,left,La Liga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,1967,20,0,0,0,11,1,710,0,0,51,33,13,61,961,15,3,0,60,38
Manu Morlanes,es ESP,"MF,FW",Villarreal,20,1000000,178,right,La Liga,,,,,,,,,,,,,,,,,,,,,,10.0,610.0,3.0,0.0,0.0,3.0,2.0,0.0,330.0,0.0,0.0,18.0,10.0,3.0,6.0,387.0,7.0,0.0,0.0,13.0,6.0,9,253,0,0,0,1,0,0,192,1,1,6,1,2,2,207,3,0,0,6,3
Manu Trigueros,es ESP,MF,Villarreal,27,12000000,178,right,La Liga,34.0,2690.0,28.0,0.0,3.0,4.0,10.0,2.0,1850.0,42.0,2.0,56.0,49.0,22.0,37.0,2132.0,35.0,1.0,0.0,38.0,43.0,24.0,1547.0,17.0,0.0,0.0,0.0,3.0,0.0,1006.0,13.0,0.0,41.0,23.0,15.0,21.0,1166.0,7.0,1.0,1.0,36.0,22.0,29,1547,24,0,2,4,6,0,918,20,2,31,30,6,29,1098,19,0,0,32,31
Manu Vallejo,es ESP,"MF,FW",Valencia,22,4000000,167,right,La Liga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,418,8,0,2,0,0,0,94,0,1,6,5,0,3,151,10,2,0,6,8
Manuel Akanji,ch SUI,DF,Dortmund,24,20000000,187,right,Bundesliga,11.0,904.0,5.0,0.0,0.0,0.0,2.0,0.0,604.0,0.0,22.0,20.0,14.0,7.0,58.0,720.0,7.0,0.0,0.0,10.0,5.0,25.0,2205.0,9.0,0.0,1.0,0.0,1.0,0.0,1828.0,0.0,17.0,34.0,27.0,17.0,102.0,2035.0,11.0,0.0,1.0,14.0,17.0,29,2309,10,0,0,1,2,0,1929,0,33,44,35,18,85,2161,12,0,3,11,23
Manuel Cabit,mq MTQ,DF,Metz,26,65000,180,left,Ligue 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,270,0,0,0,1,2,0,155,0,42,5,5,6,3,181,2,0,1,6,9
Manuel Garrido,es ESP,FW,LeganĂ©s,18,50,190,right,La Liga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,115,1,0,0,0,1,0,30,0,0,0,1,0,0,42,3,0,0,4,0
Manuel Gulde,de GER,DF,Freiburg,28,2000000,184,right,Bundesliga,17.0,1530.0,8.0,0.0,1.0,0.0,1.0,0.0,763.0,0.0,0.0,14.0,29.0,7.0,118.0,943.0,1.0,0.0,0.0,6.0,8.0,21.0,1712.0,6.0,0.0,1.0,0.0,3.0,0.0,892.0,0.0,0.0,28.0,34.0,11.0,76.0,1050.0,3.0,1.0,1.0,10.0,21.0,17,1371,14,0,1,0,0,0,818,0,9,30,41,12,91,1015,8,2,1,7,12
Manuel Lanzini,ar ARG,"MF,FW",West Ham,26,16000000,167,right,Premier League,27.0,2042.0,43.0,0.0,5.0,6.0,4.0,0.0,1272.0,52.0,4.0,17.0,19.0,24.0,4.0,1522.0,63.0,3.0,0.0,9.0,35.0,10.0,686.0,11.0,0.0,1.0,1.0,2.0,0.0,471.0,7.0,3.0,10.0,7.0,5.0,3.0,544.0,19.0,0.0,0.0,5.0,7.0,24,1379,23,0,0,2,1,0,798,32,2,11,12,9,4,941,42,4,0,6,26
Manuel Lazzari,it ITA,DF,Lazio,25,14000000,174,right,Serie A,36.0,3116.0,22.0,0.0,2.0,1.0,4.0,0.0,1537.0,6.0,293.0,56.0,62.0,21.0,57.0,2009.0,141.0,3.0,0.0,23.0,83.0,33.0,2835.0,37.0,0.0,0.0,8.0,7.0,0.0,1471.0,1.0,192.0,35.0,46.0,15.0,35.0,1859.0,111.0,0.0,2.0,31.0,63.0,32,2548,16,0,0,3,6,0,1067,0,154,20,25,4,38,1295,73,7,0,21,41
Manuel Locatelli,it ITA,MF,Sassuolo,21,15000000,185,right,Serie A,21.0,684.0,13.0,0.0,0.0,0.0,4.0,0.0,544.0,1.0,2.0,17.0,9.0,7.0,15.0,629.0,6.0,1.0,0.0,15.0,12.0,29.0,1847.0,31.0,0.0,2.0,4.0,7.0,0.0,1233.0,21.0,5.0,43.0,23.0,19.0,34.0,1481.0,43.0,0.0,1.0,35.0,29.0,33,2586,33,0,0,5,9,0,2178,24,4,86,56,16,38,2527,72,0,1,46,58
Manuel Neuer,de GER,GK,Bayern Munich,33,14000000,193,right,Bundesliga,3.0,270.0,0.0,8.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,26.0,2302.0,0.0,120.0,0.0,0.0,1.0,0.0,916.0,0.0,0.0,1.0,0.0,0.0,1.0,941.0,1.0,0.0,1.0,1.0,3.0,33,2970,0,179,0,0,0,0,1446,0,0,1,0,0,2,1505,2,0,2,0,2
Manuel Schmiedebach,de GER,MF,Union Berlin,30,65000,171,right,Bundesliga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,179,0,0,0,0,0,0,53,0,0,3,2,4,2,69,0,0,0,5,2
Manuel SĂˇnchez,es ESP,DF,AtlĂ©tico Madrid,18,8000000,171,left,La Liga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,325,0,0,0,0,1,0,173,0,30,14,4,2,6,205,11,2,0,8,3
Marash Kumbulla,al ALB,DF,Hellas Verona,19,22000000,191,right,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,1950,11,0,1,0,7,1,920,0,7,57,40,35,105,1166,6,1,1,47,24
Marc Albrighton,eng ENG,"MF,DF",Leicester City,29,8000000,175,right,Premier League,34.0,2538.0,21.0,0.0,2.0,7.0,5.0,1.0,1260.0,64.0,50.0,49.0,48.0,25.0,25.0,1559.0,85.0,1.0,0.0,20.0,25.0,27.0,1625.0,19.0,0.0,2.0,2.0,3.0,0.0,776.0,10.0,14.0,37.0,30.0,23.0,19.0,991.0,45.0,2.0,0.0,10.0,20.0,20,867,10,0,0,3,2,0,507,10,25,23,18,9,7,622,29,1,0,8,11
Marc Bartra,es ESP,"DF,MF",Betis,28,17000000,184,right,La Liga,28.0,2226.0,17.0,0.0,3.0,1.0,7.0,0.0,1804.0,0.0,45.0,60.0,45.0,47.0,95.0,2105.0,22.0,1.0,0.0,28.0,26.0,33.0,2928.0,10.0,0.0,1.0,0.0,4.0,0.0,2254.0,0.0,3.0,86.0,60.0,38.0,156.0,2644.0,26.0,4.0,3.0,30.0,39.0,30,2524,21,0,3,1,8,0,1637,0,0,62,59,25,181,2001,19,1,0,34,27
Marc Cardona,es ESP,FW,Osasuna,24,1000000,183,right,La Liga,,,,,,,,,,,,,,,,,,,,,,17.0,604.0,17.0,0.0,3.0,1.0,1.0,0.0,179.0,0.0,2.0,11.0,9.0,1.0,4.0,289.0,20.0,5.0,0.0,9.0,12.0,19,705,13,0,1,2,1,0,184,0,2,2,7,0,4,270,17,8,0,8,9
Marc Cucurella,es ESP,"MF,DF",Getafe,21,18000000,175,left,La Liga,,,,,,,,,,,,,,,,,,,,,,31.0,2354.0,21.0,0.0,1.0,2.0,6.0,0.0,997.0,0.0,72.0,44.0,45.0,15.0,29.0,1256.0,39.0,8.0,0.0,42.0,16.0,37,3237,31,0,1,5,9,0,1407,15,142,88,76,29,41,1818,48,6,0,78,62
Marc Navarro,es ESP,DF,LeganĂ©s,24,1000000,188,right,La Liga,19.0,1110.0,21.0,0.0,1.0,1.0,3.0,0.0,573.0,2.0,107.0,15.0,23.0,13.0,9.0,701.0,22.0,0.0,0.0,11.0,9.0,2.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,6.0,3.0,2.0,0.0,3.0,44.0,1.0,0.0,0.0,1.0,0.0,4,219,5,0,0,0,1,0,79,0,17,3,2,0,8,102,2,0,0,6,0
Marc Pedraza,es ESP,MF,Mallorca,32,30000,184,,La Liga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,130,0,0,0,0,0,0,33,0,0,2,0,4,2,41,1,0,0,3,0
Marc Roca,es ESP,MF,Espanyol,22,16000000,184,left,La Liga,8.0,269.0,4.0,0.0,0.0,0.0,0.0,0.0,169.0,2.0,0.0,8.0,5.0,3.0,5.0,193.0,2.0,0.0,0.0,5.0,0.0,35.0,3112.0,24.0,0.0,1.0,2.0,9.0,0.0,1937.0,2.0,2.0,82.0,57.0,33.0,68.0,2236.0,45.0,0.0,3.0,60.0,27.0,35,3008,29,0,2,1,8,0,1731,16,1,85,42,30,75,2036,25,0,1,78,23
Marc-AndrĂ© ter Stegen,de GER,GK,Barcelona,27,72000000,187,right,La Liga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,3240,0,219,0,2,1,0,1419,0,0,1,0,0,3,1493,0,0,2,0,2
Marcel Halstenberg,de GER,DF,RB Leipzig,27,17000000,188,left,Bundesliga,15.0,1178.0,26.0,0.0,2.0,2.0,3.0,0.0,776.0,13.0,119.0,21.0,34.0,14.0,30.0,937.0,22.0,0.0,0.0,10.0,11.0,28.0,2414.0,22.0,0.0,3.0,6.0,2.0,0.0,1582.0,75.0,294.0,65.0,58.0,26.0,79.0,1894.0,45.0,2.0,0.0,24.0,21.0,29,2520,31,0,3,3,6,1,1909,27,152,50,56,28,92,2195,34,1,0,24,16
Marcel Risse,de GER,"MF,FW",KĂ¶ln,29,1000000,183,right,Bundesliga,16.0,1169.0,21.0,0.0,1.0,3.0,2.0,0.0,646.0,44.0,45.0,20.0,23.0,14.0,9.0,752.0,24.0,3.0,0.0,9.0,6.0,,,,,,,,,,,,,,,,,,,,,,6,132,1,0,0,2,1,0,70,6,5,3,1,3,2,81,2,0,0,3,0
Marcel Sabitzer,at AUT,"MF,FW",RB Leipzig,25,32000000,177,right,Bundesliga,22.0,1790.0,61.0,0.0,3.0,5.0,4.0,0.0,933.0,13.0,51.0,30.0,36.0,17.0,13.0,1208.0,49.0,5.0,0.0,14.0,34.0,30.0,2352.0,62.0,0.0,4.0,3.0,9.0,0.0,1235.0,5.0,42.0,47.0,40.0,25.0,32.0,1558.0,32.0,5.0,1.0,27.0,30.0,32,2499,71,0,9,7,4,0,1532,16,80,38,34,14,29,1825,39,3,0,20,41
